"DATA (CET)";"ORA (CET)";"PRESSIONE (hPa)";"TEMPERATURA (gradi centigradi)";"DIR VENTO (gradi nord)";"VEL VENTO (km/h)";"UMIDITA REL (%)";"PRECIPITAZIONE ACCUMUL (mm)";"INSOLAZIONE (ore)"
01/01/1990;00.00;1021.5;0.9;0.0;9.0;95;;
01/01/1990;01.00;1021.5;0.4;0.0;10.0;96;;
01/01/1990;02.00;1021.5;0.2;0.0;9.0;99;;
01/01/1990;03.00;1021.5;0.0;337.5;9.0;96;;
01/01/1990;04.00;1021.5;-0.2;337.5;8.0;100;;
01/01/1990;05.00;1021.4;-0.8;337.5;9.0;100;;
01/01/1990;06.00;1021.4;-1.2;337.5;9.0;100;;
01/01/1990;07.00;1021.4;-1.3;337.5;9.0;100;;
01/01/1990;08.00;1021.5;-1.2;337.5;8.0;100;;
01/01/1990;09.00;1021.5;-0.5;337.5;8.0;98;;0.6
01/01/1990;10.00;1021.6;0.7;0.0;7.0;89;;1.0
01/01/1990;11.00;1021.6;2.8;0.0;8.0;78;;1.0
01/01/1990;12.00;1021.5;3.9;337.5;7.0;74;;1.0
01/01/1990;13.00;1020.8;5.0;337.5;6.0;70;;1.0
01/01/1990;14.00;1020.2;5.6;315.0;7.0;68;;1.0
01/01/1990;15.00;1019.9;6.0;315.0;4.0;65;;1.0
01/01/1990;16.00;1019.6;5.2;270.0;4.0;77;;0.9
01/01/1990;17.00;1019.5;3.5;270.0;5.0;97;;
01/01/1990;18.00;1019.2;2.0;270.0;11.0;99;;
01/01/1990;19.00;1019.1;0.5;270.0;9.0;100;;
01/01/1990;20.00;1019.1;-1.1;270.0;10.0;100;;
01/01/1990;21.00;1019.2;-1.2;270.0;10.0;100;;
01/01/1990;22.00;1019.4;-1.2;292.5;10.0;100;;
01/01/1990;23.00;1019.5;-1.0;292.5;3.0;100;;
02/01/1990;00.00;1019.5;-1.0;292.5;4.0;100;;
02/01/1990;01.00;1019.5;-1.3;292.5;3.0;100;;
02/01/1990;02.00;1019.5;-1.9;315.0;6.0;100;;
02/01/1990;03.00;1019.5;-2.0;315.0;5.0;99;;
02/01/1990;04.00;1019.1;-2.4;315.0;8.0;99;;
02/01/1990;05.00;1019.0;-2.8;315.0;7.0;99;;
02/01/1990;06.00;1019.0;-2.5;315.0;7.0;99;;
02/01/1990;07.00;1019.1;-2.3;292.5;7.0;99;;
02/01/1990;08.00;1019.4;-2.2;292.5;5.0;99;;
02/01/1990;09.00;1019.8;-1.5;292.5;5.0;99;;0.2
02/01/1990;10.00;1020.0;-0.2;292.5;5.0;91;;1.0
02/01/1990;11.00;1020.3;1.8;292.5;5.0;80;;1.0
02/01/1990;12.00;1020.2;2.9;292.5;5.0;78;;1.0
02/01/1990;13.00;1019.8;4.3;292.5;6.0;65;;1.0
02/01/1990;14.00;1018.8;5.3;292.5;4.0;61;;1.0
02/01/1990;15.00;1018.4;5.8;292.5;4.0;67;;1.0
02/01/1990;16.00;1018.3;5.1;292.5;5.0;75;;1.0
02/01/1990;17.00;1018.2;3.1;270.0;6.0;95;;
02/01/1990;18.00;1018.3;1.7;270.0;10.0;98;;
02/01/1990;19.00;1018.4;1.1;270.0;9.0;99;;
02/01/1990;20.00;1018.6;0.7;270.0;8.0;99;;
02/01/1990;21.00;1018.7;-0.3;270.0;9.0;99;;
02/01/1990;22.00;1019.1;-0.3;292.5;8.0;99;;
02/01/1990;23.00;1019.4;-0.5;315.0;11.0;98;;
03/01/1990;00.00;1019.5;-0.6;337.5;9.0;97;;
03/01/1990;01.00;1019.5;-0.5;337.5;9.0;90;;
03/01/1990;02.00;1019.5;-0.8;337.5;8.0;90;;
03/01/1990;03.00;1019.5;-0.1;337.5;7.0;85;;
