datetime,dists(Km)
2010/01/01 00:00:00,353510.20861417055
2010/01/01 01:00:00,353731.45807534456
2010/01/01 02:00:00,354197.43340462446
2010/01/01 03:00:00,354875.2536997199
2010/01/01 04:00:00,355718.66277605295
2010/01/01 05:00:00,356671.40781879425
2010/01/01 06:00:00,357670.7921922207
2010/01/01 07:00:00,358651.7507210374
2010/01/01 08:00:00,359551.0642975569
2010/01/01 09:00:00,360311.0520169139
2010/01/01 10:00:00,360883.01949203014
2010/01/01 11:00:00,361230.18469661474
2010/01/01 12:00:00,361329.5588642359
2010/01/01 13:00:00,361173.4442412853
2010/01/01 14:00:00,360769.81723308563
2010/01/01 15:00:00,360141.91042631865
2010/01/01 16:00:00,359326.9934877753
2010/01/01 17:00:00,358374.4226023555
2010/01/01 18:00:00,357342.74946153164
2010/01/01 19:00:00,356296.2032854557
2010/01/01 20:00:00,355301.0683506727
2010/01/01 21:00:00,354421.1907312274
2010/01/01 22:00:00,353714.04234319925
2010/01/01 23:00:00,353226.61083191633
2010/01/02 00:00:00,352992.33440309763
2010/01/02 01:00:00,353028.59395742416
2010/01/02 02:00:00,353335.35466343164
2010/01/02 03:00:00,353895.3401148319
2010/01/02 04:00:00,354674.97278004885
2010/01/02 05:00:00,355626.8122047186
2010/01/02 06:00:00,356692.7943378687
2010/01/02 07:00:00,357808.1326559186
2010/01/02 08:00:00,358905.49793839455
2010/01/02 09:00:00,359919.267706573
2010/01/02 10:00:00,360789.5666733384
2010/01/02 11:00:00,361465.8195525408
2010/01/02 12:00:00,361909.7117334604
2010/01/02 13:00:00,362097.348831594
2010/01/02 14:00:00,362020.64994722605
2010/01/02 15:00:00,361687.8353059292
2010/01/02 16:00:00,361122.90378659964
2010/01/02 17:00:00,360364.65764045715
2010/01/02 18:00:00,359464.22945708036
2010/01/02 19:00:00,358482.3653101921
2010/01/02 20:00:00,357485.8022853732
2010/01/02 21:00:00,356543.1931987405
2010/01/02 22:00:00,355720.6830009818
2010/01/02 23:00:00,355077.6245072484
2010/01/03 00:00:00,354662.36378997564
2010/01/03 01:00:00,354509.1401785612
2010/01/03 02:00:00,354635.23007929325
2010/01/03 03:00:00,355039.97169435024
2010/01/03 04:00:00,355704.55603301525
2010/01/03 05:00:00,356593.42017024755
2010/01/03 06:00:00,357656.75511211157
2010/01/03 07:00:00,358833.88444781303
2010/01/03 08:00:00,360057.4092939496
2010/01/03 09:00:00,361257.56222754717
2010/01/03 10:00:00,362366.66571348906
2010/01/03 11:00:00,363323.3815431595
2010/01/03 12:00:00,364076.12431794405
2010/01/03 13:00:00,364586.4052698016
2010/01/03 14:00:00,364830.6783288717
2010/01/03 15:00:00,364801.97720229626
2010/01/03 16:00:00,364510.15919446945
2010/01/03 17:00:00,363981.45239800215
2010/01/03 18:00:00,363257.06243515015
2010/01/03 19:00:00,362390.83874970675
2010/01/03 20:00:00,361446.24426960945
2010/01/03 21:00:00,360492.41945147514
2010/01/03 22:00:00,359600.10699927807
2010/01/03 23:00:00,358836.9496166706
2010/01/04 00:00:00,358263.0664110184
2010/01/04 01:00:00,357926.76862329245
2010/01/04 02:00:00,357861.38996481895
2010/01/04 03:00:00,358082.63942599297
2010/01/04 04:00:00,358587.4866694212
2010/01/04 05:00:00,359354.40585017204
2010/01/04 06:00:00,360344.8037058115
2010/01/04 07:00:00,361505.875736475
2010/01/04 08:00:00,362774.159014225
2010/01/04 09:00:00,364079.88611608744
2010/01/04 10:00:00,365351.54804587364
2010/01/04 11:00:00,366520.4919874668
2010/01/04 12:00:00,367524.99658614397
2010/01/04 13:00:00,368314.1730725765
2010/01/04 14:00:00,368850.64728558064
2010/01/04 15:00:00,369112.928211689
2010/01/04 16:00:00,369096.45292907953
2010/01/04 17:00:00,368813.9697536826
2010/01/04 18:00:00,368294.77194696665
2010/01/04 19:00:00,367583.0954685807
2010/01/04 20:00:00,366735.68077385426
2010/01/04 21:00:00,365818.4289932251
2010/01/04 22:00:00,364902.32665091753
2010/01/04 23:00:00,364059.1265633702
2010/01/05 00:00:00,363356.645591557
2010/01/05 01:00:00,362854.20171916485
2010/01/05 02:00:00,362598.5387712717
2010/01/05 03:00:00,362620.4129308462
2010/01/05 04:00:00,362932.4331879616
2010/01/05 05:00:00,363528.15572172403
2010/01/05 06:00:00,364382.43221491575
2010/01/05 07:00:00,365453.3952474594
2010/01/05 08:00:00,366685.17515063286
2010/01/05 09:00:00,368012.14944571257
2010/01/05 10:00:00,369362.98329383135
2010/01/05 11:00:00,370665.7148897648
2010/01/05 12:00:00,371851.9352376461
2010/01/05 13:00:00,372861.24657839537
2010/01/05 14:00:00,373644.71070468426
2010/01/05 15:00:00,374167.6703095436
2010/01/05 16:00:00,374411.76921129227
2010/01/05 17:00:00,374375.89280307293
2010/01/05 18:00:00,374076.272547245
2010/01/05 19:00:00,373545.61518877745
2010/01/05 20:00:00,372831.1521932483
2010/01/05 21:00:00,371992.06221848726
2010/01/05 22:00:00,371095.81381082535
2010/01/05 23:00:00,370214.1946181655
2010/01/06 00:00:00,369418.71363669634
2010/01/06 01:00:00,368775.7944688201
2010/01/06 02:00:00,368342.5607159734
2010/01/06 03:00:00,368162.62137144804
2010/01/06 04:00:00,368263.0056515336
2010/01/06 05:00:00,368652.4214223027
2010/01/06 06:00:00,369320.34958153963
2010/01/06 07:00:00,370237.984508276
2010/01/06 08:00:00,371360.3239506483
2010/01/06 09:00:00,372629.3386891484
2010/01/06 10:00:00,373977.9781550169
2010/01/06 11:00:00,375334.6985206008
2010/01/06 12:00:00,376628.2694414258
2010/01/06 13:00:00,377792.02349483967
2010/01/06 14:00:00,378768.0011242628
