GIORNO;ORA solare;Livello P. Salute Canal Grande (m)
01/01/2018;01:00;0.28
01/01/2018;02:00;0.17
01/01/2018;03:00;0.12
01/01/2018;04:00;0.16
01/01/2018;05:00;0.30
01/01/2018;06:00;0.49
01/01/2018;07:00;0.66
01/01/2018;08:00;0.81
01/01/2018;09:00;0.91
01/01/2018;10:00;0.97
01/01/2018;11:00;0.93
01/01/2018;12:00;0.79
01/01/2018;13:00;0.59
01/01/2018;14:00;0.40
01/01/2018;15:00;0.20
01/01/2018;16:00;0.05
01/01/2018;17:00;-0.04
01/01/2018;18:00;-0.04
01/01/2018;19:00;0.08
01/01/2018;20:00;0.25
01/01/2018;21:00;0.42
01/01/2018;22:00;0.56
01/01/2018;23:00;0.62
02/01/2018;00:00;0.61
02/01/2018;01:00;0.52
02/01/2018;02:00;0.39
02/01/2018;03:00;0.27
02/01/2018;04:00;0.21
02/01/2018;05:00;0.22
02/01/2018;06:00;0.33
02/01/2018;07:00;0.47
02/01/2018;08:00;0.63
02/01/2018;09:00;0.80
02/01/2018;10:00;0.89
02/01/2018;11:00;0.91
02/01/2018;12:00;0.84
02/01/2018;13:00;0.66
02/01/2018;14:00;0.42
02/01/2018;15:00;0.18
02/01/2018;16:00;-0.04
02/01/2018;17:00;-0.20
02/01/2018;18:00;-0.27
02/01/2018;19:00;-0.23
02/01/2018;20:00;-0.05
02/01/2018;21:00;0.17
02/01/2018;22:00;0.32
02/01/2018;23:00;0.44
03/01/2018;00:00;0.52
03/01/2018;01:00;0.51
03/01/2018;02:00;0.45
03/01/2018;03:00;0.35
03/01/2018;04:00;0.27
03/01/2018;05:00;0.27
03/01/2018;06:00;0.33
03/01/2018;07:00;0.47
03/01/2018;08:00;0.66
03/01/2018;09:00;0.81
03/01/2018;10:00;0.93
03/01/2018;11:00;0.97
03/01/2018;12:00;0.91
03/01/2018;13:00;0.75
03/01/2018;14:00;0.53
03/01/2018;15:00;0.29
03/01/2018;16:00;0.08
03/01/2018;17:00;-0.11
03/01/2018;18:00;-0.22
03/01/2018;19:00;-0.22
03/01/2018;20:00;-0.07
03/01/2018;21:00;0.14
03/01/2018;22:00;0.37
03/01/2018;23:00;0.59
04/01/2018;00:00;0.70
04/01/2018;01:00;0.78
04/01/2018;02:00;0.80
04/01/2018;03:00;0.67
04/01/2018;04:00;0.53
04/01/2018;05:00;0.41
04/01/2018;06:00;0.38
04/01/2018;07:00;0.39
04/01/2018;08:00;0.43
04/01/2018;09:00;0.59
04/01/2018;10:00;0.67
04/01/2018;11:00;0.69
04/01/2018;12:00;0.64
04/01/2018;13:00;0.56
04/01/2018;14:00;0.42
04/01/2018;15:00;0.22
04/01/2018;16:00;0.10
04/01/2018;17:00;-0.04
04/01/2018;18:00;-0.19
04/01/2018;19:00;-0.16
04/01/2018;20:00;-0.01
04/01/2018;21:00;0.19
04/01/2018;22:00;0.40
04/01/2018;23:00;0.59
05/01/2018;00:00;0.76
05/01/2018;01:00;0.87
05/01/2018;02:00;0.88
05/01/2018;03:00;0.85
05/01/2018;04:00;0.73
05/01/2018;05:00;0.57
05/01/2018;06:00;0.45
05/01/2018;07:00;0.37
05/01/2018;08:00;0.34
05/01/2018;09:00;0.40
05/01/2018;10:00;0.50
05/01/2018;11:00;0.63
05/01/2018;12:00;0.69
05/01/2018;13:00;0.68
05/01/2018;14:00;0.62
05/01/2018;15:00;0.47
05/01/2018;16:00;0.33
05/01/2018;17:00;0.17
05/01/2018;18:00;0.06
05/01/2018;19:00;0.03
05/01/2018;20:00;0.06
05/01/2018;21:00;0.22
05/01/2018;22:00;0.41
05/01/2018;23:00;0.60
06/01/2018;00:00;0.76
06/01/2018;01:00;0.86
06/01/2018;02:00;0.89
06/01/2018;03:00;0.86
06/01/2018;04:00;0.72
06/01/2018;05:00;0.53
06/01/2018;06:00;0.37
06/01/2018;07:00;0.26
06/01/2018;08:00;0.19
06/01/2018;09:00;0.25
06/01/2018;10:00;0.37
06/01/2018;11:00;0.52
06/01/2018;12:00;0.62
06/01/2018;13:00;0.67
06/01/2018;14:00;0.67
06/01/2018;15:00;0.57
06/01/2018;16:00;0.42
06/01/2018;17:00;0.29
06/01/2018;18:00;0.19
06/01/2018;19:00;0.12
06/01/2018;20:00;0.13
06/01/2018;21:00;0.24
06/01/2018;22:00;0.36
06/01/2018;23:00;0.51
07/01/2018;00:00;0.63
07/01/2018;01:00;0.71
07/01/2018;02:00;0.73
07/01/2018;03:00;0.67
07/01/2018;04:00;0.56
07/01/2018;05:00;0.43
07/01/2018;06:00;0.32
07/01/2018;07:00;0.24
07/01/2018;08:00;0.22
07/01/2018;09:00;0.24
07/01/2018;10:00;0.34
07/01/2018;11:00;0.44
07/01/2018;12:00;0.53
07/01/2018;13:00;0.58
07/01/2018;14:00;0.59
07/01/2018;15:00;0.56
07/01/2018;16:00;0.48
07/01/2018;17:00;0.41
07/01/2018;18:00;0.34
07/01/2018;19:00;0.26
07/01/2018;20:00;0.21
07/01/2018;21:00;0.20
07/01/2018;22:00;0.23
07/01/2018;23:00;0.32
08/01/2018;00:00;0.43
08/01/2018;01:00;0.52
08/01/2018;02:00;0.61
08/01/2018;03:00;0.64
08/01/2018;04:00;0.64
08/01/2018;05:00;0.59
08/01/2018;06:00;0.50
08/01/2018;07:00;0.40
08/01/2018;08:00;0.34
08/01/2018;09:00;0.30
08/01/2018;10:00;0.33
08/01/2018;11:00;0.41
08/01/2018;12:00;0.49
08/01/2018;13:00;0.56
08/01/2018;14:00;0.60
08/01/2018;15:00;0.59
08/01/2018;16:00;0.52
08/01/2018;17:00;0.43
08/01/2018;18:00;0.36
08/01/2018;19:00;0.31
08/01/2018;20:00;0.25
08/01/2018;21:00;0.24
08/01/2018;22:00;0.26
